% G10 acyclic

Elements: 1, 2, 3, 4, 5, 6, 7, 8, 9, A

Relation: *

Facts:
(1, 1, 1)
(1, 2, 2)
(1, 3, 3)
(1, 4, 4)
(1, 5, 5)
(1, 6, 6)
(1, 7, 7)
(1, 8, 8)
(1, 9, 9)
(1, A, A)
(2, 1, 2)
(2, 2, 1)
(2, 3, 4)
(2, 4, 3)
(2, 5, 6)
(2, 6, 5)
(2, 7, 8)
(2, 8, 7)
(2, 9, A)
(2, A, 9)
(3, 1, 3)
(3, 2, 9)
(3, 3, 1)
(3, 4, 5)
(3, 5, 4)
(3, 6, 7)
(3, 7, 6)
(3, 8, A)
(3, 9, 2)
(3, A, 8)
(4, 1, 4)
(4, 2, A)
(4, 3, 2)
(4, 4, 6)
(4, 5, 3)
(4, 6, 8)
(4, 7, 5)
(4, 8, 9)
(4, 9, 1)
(4, A, 7)
(5, 1, 5)
(5, 2, 8)
(5, 3, 9)
(5, 4, 7)
(5, 5, 1)
(5, 6, A)
(5, 7, 4)
(5, 8, 2)
(5, 9, 3)
(5, A, 6)
(6, 1, 6)
(6, 2, 7)
(6, 3, A)
(6, 4, 8)
(6, 5, 2)
(6, 6, 9)
(6, 7, 3)
(6, 8, 1)
(6, 9, 4)
(6, A, 5)
(7, 1, 7)
(7, 2, 6)
(7, 3, 8)
(7, 4, A)
(7, 5, 9)
(7, 6, 2)
(7, 7, 1)
(7, 8, 3)
(7, 9, 5)
(7, A, 4)
(8, 1, 8)
(8, 2, 5)
(8, 3, 7)
(8, 4, 9)
(8, 5, A)
(8, 6, 1)
(8, 7, 2)
(8, 8, 4)
(8, 9, 6)
(8, A, 3)
(9, 1, 9)
(9, 2, 3)
(9, 3, 5)
(9, 4, 1)
(9, 5, 7)
(9, 6, 4)
(9, 7, A)
(9, 8, 6)
(9, 9, 8)
(9, A, 2)
(A, 1, A)
(A, 2, 4)
(A, 3, 6)
(A, 4, 2)
(A, 5, 8)
(A, 6, 3)
(A, 7, 9)
(A, 8, 5)
(A, 9, 7)
(A, A, 1)
end
